league_id,league_name,year,draft_type,num_teams,scoring_type,roster_size,num_starters,num_bench,ppr_points,keepers,num_rostered_qb,num_rostered_rb,num_rostered_rb_wr,num_rostered_wr,num_rostered_te,num_rostered_d_st,num_rostered_k,num_rostered_be,num_rostered_rb_wr_te,num_rostered_ir,num_rostered_wr_te,num_rostered_dt,num_rostered_de,num_rostered_lb,num_rostered_edr,num_rostered_cb,num_rostered_s,num_rostered_dp,num_rostered_p,num_rostered_hc,num_rostered_op,num_rostered_dl,num_rostered_db
626340,Bodine Pride League,2017,draft,12,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
626345,Tone Time 2016,2017,draft,10,head_to_head_points,16,9,7,1,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626363,PLCSMF,2017,draft,10,head_to_head_points,15,9,6,0.5,0,1,2,0,2,1,1,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
626370,Jacksonville 626370,2017,draft,10,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626396,Northwest Auto Parts,2017,draft,12,head_to_head_points,14,9,5,1,0,1,2,0,2,1,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
626398,New York 12-Team 626398,2017,draft,12,head_to_head_points,16,9,7,0,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626407,The League III,2017,draft,10,head_to_head_points,25,10,15,1,20,1,2,0,3,1,1,1,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
626421,The FPMF League,2017,draft,10,head_to_head_points,20,10,10,0.5,0,1,2,1,2,1,1,1,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
626430,Big Black Hawks,2017,draft,10,head_to_head_points,16,9,7,0,4,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626432,Booze,2017,draft,12,head_to_head_points,16,9,7,0.5,0,1,2,0,2,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
